scope,folder,filename,ext,size_mb,created,modified,modified_by,tags,asset_type,industry,product,competitor,status,suggest_ingest,skip_reason,web_url,drive_id,item_id
sales,3rd Party Reports References,VDI Like A Pro Survey EUC 2021.pdf,pdf,3.2,2022-05-10,2022-05-10,Vijender Yadav,Analyst Report; VDI; Sales,Analyst Report,,VDI,,active,yes,,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/3rd%20Party%20Reports%20References/VDI%20Like%20A%20Pro%20Survey%20EUC%202021.pdf,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT64OZFOEVRND5EYTCRKTVB3LHGU
sales,Accops Brand Files,Accops Brandbook 2025.pdf,pdf,7.23,2025-07-29,2025-04-21,SANDIP MALLIK,Brand; Sales,Brand,,,,active,yes,,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/Accops%20Brandbook%202025.pdf,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT6TN7F227XHZRFY2C7VWEPNOO44
sales,Accops Brand Files,accops_color_icon@2x.jpg,jpg,0.08,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_color_icon@2x.jpg,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT5EESDPULUQLVDICEJ4EHSGWAVE
sales,Accops Brand Files,accops_color_icon@2x.png,png,0.01,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_color_icon@2x.png,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT4VSFTXSKNEWZCKOUK4SQOCEW3P
sales,Accops Brand Files,accops_grey_icon@2x.jpg,jpg,0.05,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_grey_icon@2x.jpg,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT6R2JC6XTDWCFHZWYTW4RUF7M5B
sales,Accops Brand Files,accops_grey_icon@2x.png,png,0.01,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_grey_icon@2x.png,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT3AZ3OH65TASRFYXVN2HADP5VVY
sales,Accops Brand Files,accops_logo@2x - Shortcut.lnk,lnk,0.0,2023-11-22,2023-11-22,Vijender Yadav,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_logo@2x%20-%20Shortcut.lnk,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT6AOH53NLEMERF27ZV4T7BATXEN
sales,Accops Brand Files,accops_logo@2x.jpg,jpg,0.27,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_logo@2x.jpg,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT7XYEAEGRJFFZBYG6GCJC4PX2VE
sales,Accops Brand Files,accops_logo@2x.png,png,0.04,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_logo@2x.png,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHTZCIZZGRFWC6VEZ74VNJ5ZKOJN7
sales,Accops Brand Files,accops_logo_blackbg@2x.jpg,jpg,0.19,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_logo_blackbg@2x.jpg,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT6JGSHB4PJNWJGJF6FYYKPKE5G6
sales,Accops Brand Files,accops_logo_blackbg@2x.png,png,0.04,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_logo_blackbg@2x.png,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT2UJ2QAHDGFJZHLPECO3FJAGFMS
sales,Accops Brand Files,accops_logo_grey@2x.jpg,jpg,0.25,2021-07-16,2021-07-16,BALABHARATHY,Brand; Sales,Brand,,,,active,no,not a document,https://propalmsnetwork.sharepoint.com/sites/Company/Shared%20Documents/Sales/Sales%20Collateral/Accops%20Brand%20Files/accops_logo_grey@2x.jpg,b!MW22Pukebk6aWlrjbkWCK27cJOS0bM9OhUq0QE7-doKh1nVGqaB-SKHlnIF7W6dj,01X5UIHT4J2L3FSC3J4JFJLZTPDNHR5LWX
